"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1784","test_get_all_brands","tests","Sun Aug 24 15:41:26 IST 2025","passed","Sun Aug 24 15:41:28 IST 2025","","test_get_brands","",""
"","3131","test_post_verify_login_invalid_password_parameters","tests","Sun Aug 24 15:41:42 IST 2025","passed","Sun Aug 24 15:41:45 IST 2025","","test_post_verify_login_invalid_parameters","",""
"","1819","test_get_all_products","tests","Sun Aug 24 15:41:28 IST 2025","passed","Sun Aug 24 15:41:30 IST 2025","","test_get_products","",""
"","1819","test_post_verify_login_invalid_email_parameters","tests","Sun Aug 24 15:41:40 IST 2025","passed","Sun Aug 24 15:41:42 IST 2025","","test_post_verify_login_invalid_parameters","",""
"","2808","test_get_user_detail","tests","Sun Aug 24 15:41:15 IST 2025","passed","Sun Aug 24 15:41:18 IST 2025","","test_account","",""
"","4170","test_delete_verify_login","tests","Sun Aug 24 15:41:22 IST 2025","passed","Sun Aug 24 15:41:26 IST 2025","","test_delete_verify_login","",""
"","2423","test_post_product_without_search","tests","Sun Aug 24 15:41:30 IST 2025","passed","Sun Aug 24 15:41:32 IST 2025","","test_post_product_without_search","",""
"","2778","test_post_search_products","tests","Sun Aug 24 15:41:34 IST 2025","passed","Sun Aug 24 15:41:37 IST 2025","","test_post_search_products","",""
"","1771","test_put_update_account","tests","Sun Aug 24 15:41:18 IST 2025","passed","Sun Aug 24 15:41:20 IST 2025","","test_account","",""
"","1953","test_post_verify_login_invalid","tests","Sun Aug 24 15:41:39 IST 2025","passed","Sun Aug 24 15:41:40 IST 2025","","test_post_verify_login_invalid","",""
"","1781","test_post_all_products","tests","Sun Aug 24 15:41:32 IST 2025","passed","Sun Aug 24 15:41:34 IST 2025","","test_post_products","",""
"","2978","test_post_create_account","tests","Sun Aug 24 15:41:12 IST 2025","passed","Sun Aug 24 15:41:15 IST 2025","","test_account","",""
"","1842","test_delete_account","tests","Sun Aug 24 15:41:20 IST 2025","passed","Sun Aug 24 15:41:22 IST 2025","","test_account","",""
"","2220","test_put_brands","tests","Sun Aug 24 15:41:45 IST 2025","passed","Sun Aug 24 15:41:48 IST 2025","","test_put_brands","",""
"","1995","test_post_verify_login","tests","Sun Aug 24 15:41:37 IST 2025","passed","Sun Aug 24 15:41:39 IST 2025","","test_post_verify_login","",""
